ID,Category,Broker,Area,Title,Severity,Status,OpenAlgo Behavior,OpenBull Current,Suggested Fix,Reference Files
RT-01,Realtime,core,frontend,Positions page is REST-poll only (not realtime),High,Done,"Renders enhancedPositions from useLivePrice; recomputes LTP/PnL per WS tick","useQuery REST polling only; static rows; no WS subscription","Wire useLivePrice into Positions.tsx; render enhancedPositions; recompute filtered rows on tick","openalgo frontend/src/pages/Positions.tsx; openbull frontend/src/pages/Positions.tsx"
RT-02,Realtime,core,frontend,Holdings page is REST-poll only (not realtime),High,Done,"Renders enhancedHoldings; recomputes totalholdingvalue/pnl/pnl% per tick","useQuery refetch ~30s; stats off static data","Wire useLivePrice into Holdings.tsx; recompute totals per tick","openalgo frontend/src/pages/Holdings.tsx; openbull frontend/src/pages/Holdings.tsx"
RT-03,Realtime,core,hook,Missing useLivePrice (and useLiveQuote) hook,High,Done,"useLivePrice subscribes per-symbol LTP via useMarketData and merges ticks into rows","Hook does not exist; useMarketData/usePageVisibility exist but unused by portfolio pages","Port useLivePrice.ts (+useLiveQuote.ts) from openalgo; reuse openbull useMarketData","openalgo frontend/src/hooks/useLivePrice.ts; openalgo frontend/src/hooks/useLiveQuote.ts; openbull frontend/src/hooks/useMarketData.ts"
RT-04,Realtime,core,frontend,No Live/Paused status badge,Low,Done,"Badge with Radio icon shows Live when streaming, Paused when hidden","No streaming-status indicator","Add Live/Paused badge driven by useLivePrice isLive/isPaused","openalgo frontend/src/pages/Positions.tsx; openalgo frontend/src/pages/Holdings.tsx"
RT-05,Realtime,core,hook,No MultiQuotes REST fallback when WS down,Med,Merged-into-EXTRA-04,"useLivePrice polls getMultiQuotes ~30s as fallback data source","useLivePrice ported (WS live + recompute) but NO REST fallback yet; openbull has no frontend multiquotes API binding nor an auth store/apiKey source on the client","Add a frontend multiquotes API binding (reuse getWebSocketApiKey for the apiKey) + a backend quotes route, then add the polling fallback branch to useLivePrice","openalgo frontend/src/hooks/useLivePrice.ts; openbull frontend/src/hooks/useLivePrice.ts"
RT-06,Realtime,core,hook,No pause-when-hidden for portfolio streams,Low,Done,"pauseWhenHidden pauses WS+polling when tab hidden, resumes on focus","usePageVisibility exists but not wired to portfolio streaming","Wire usePageVisibility through useLivePrice (pauseWhenHidden:true)","openalgo frontend/src/hooks/useLivePrice.ts; openbull frontend/src/hooks/usePageVisibility.ts"
DHAN-01,Broker,dhan,mapping,Holdings show stale P&L (pass-through map_portfolio_data),High,Done,"map_portfolio_data batch-fetches LTP via multiquotes, resolves NSE/BSE from securityId, enriches _oa_symbol/_exchange/_ltp","Pass-through; computes P&L from avgCostPrice; no live LTP fetch","Port LTP batch-fetch + exchange enrichment chain","openalgo broker/dhan/mapping/order_data.py; openbull backend/broker/dhan/mapping/order_data.py"
DHAN-02,Broker,dhan,mapping,Holding value uses avgCostPrice not live LTP,Med,Done,"calculate_portfolio_statistics uses enriched _ltp, falls back to avgCostPrice","Uses avgCostPrice for both invested and holding value; P&L=0 until quotes","Use enriched _ltp for totalholdingvalue when available","openalgo broker/dhan/mapping/order_data.py; openbull backend/broker/dhan/mapping/order_data.py"
DHAN-03,Broker,dhan,funds,Missing test_auth_token validation,Med,Done,"test_auth_token validates token via /v2/fundlimit before queries","Not implemented","Add test_auth_token to validate broker token","openalgo broker/dhan/api/funds.py; openbull backend/broker/dhan/api/funds.py"
DHAN-04,Broker,dhan,auth,authenticate_broker omits dhanClientId,Low,N/A,"Returns (access_token, dhan_client_id, error)","Returns (access_token, error) 2-tuple - uniform contract across all 5 brokers; dhan client_id already flows via config and is used by order placement","N/A by design: a 3-tuple return would break the generic OAuth callback; client_id is supplied via config, not the auth return","openbull backend/broker/dhan/api/auth_api.py"
GRK-01,Greeks,core,service,Use opengreeks instead of hand-rolled Black-76 (single engine behind all /tools),High,Done,"Lazy-imports opengreeks.black76 (Rust, NumPy-only, bit-identical, ~50-180x faster); check_opengreeks_availability(). Every /tools greek tool (Strategy Builder, GEX, IV Smile, Vol Surface, snapshot Greeks) delegates to calculate_greeks here","Hand-rolled pure-math Black-76 (NOT py_vollib) in option_greeks_service.py; all /tools services already delegate to it via calculate_greeks/parse_option_symbol","Swap the core math (_black76_price/_implied_vol/_greeks) to opengreeks.black76 + add dep. This upgrades ALL /tools greek tools at once. PRESERVE return units (theta/365, vega/100) since iv_chart_service consumes _greeks directly; verify opengreeks unit conventions before swap","openalgo services/option_greeks_service.py; openbull backend/services/option_greeks_service.py; openbull backend/services/{strategy_builder,gex,iv_smile,vol_surface}_service.py"
GRK-02,Greeks,core,service,Missing get_multi_option_greeks batch endpoint,Med,Done,"get_multi_option_greeks: one spot fetch per underlying + get_multiquotes for options","Not present","Port get_multi_option_greeks batch function","openalgo services/option_greeks_service.py"
GRK-03,Greeks,core,service,No crypto-exchange branch in greeks,Low,N/A,"get_underlying_exchange handles CRYPTO_EXCHANGES","No crypto branch","Add crypto branch only if openbull targets crypto","openalgo services/option_greeks_service.py"
GRK-04,Greeks,core,service,iv_chart_service uses internal _implied_vol/_greeks directly,Med,Done,"openalgo iv_chart_service lazy-loads opengreeks.black76 directly (black_iv) for its IV series","openbull iv_chart_service imports _implied_vol/_greeks from option_greeks_service (lines 24/267/278) - the /tools/greeks Historical tool","Keep _implied_vol/_greeks as thin opengreeks-backed wrappers so iv_chart_service needs no change, OR mirror openalgo and call opengreeks directly","openalgo services/iv_chart_service.py; openbull backend/services/iv_chart_service.py"
STR-01,Broker,upstox,streaming,No silent-stall / health detection,High,N/A,"upstox_client.py: 90s DATA_TIMEOUT, 30s health check, reconnect budget","ALREADY PRESENT in openbull: upstox_adapter._health_loop (30s check, 90s stall -> forced reconnect, lines 335-353) + 5-try reconnect budget with exp backoff","No action - audit sub-agent finding was inaccurate; openbull already at parity","openbull backend/broker/upstox/streaming/upstox_adapter.py"
STR-02,Broker,zerodha,streaming,Single-file adapter; missing auth-fail short-circuit + incremental subscribe,Med,Done,"auth-failure short-circuit; incremental batch subscription","Incremental batch subscription (_pending deque + _process_subscriptions worker), 50-try reconnect budget + 90s health check were ALREADY present; auth-fail short-circuit was the only real gap","Added _fatal_error short-circuit (403/401/unauthorized/TokenException indicators in _on_error/_on_close) so a dead token stops reconnecting instead of burning the 50-try budget; reset on connect() for token-refresh","openbull backend/broker/zerodha/streaming/zerodha_adapter.py"
GTT-01,Broker,zerodha,order_api,No GTT (SINGLE/OCO) support,Med,Open,"gtt_api.py + gtt_data.py: place/modify/cancel/list GTT with market-price protection","No gtt_api.py / gtt_data.py","Port GTT module if GTT is in scope","openalgo broker/zerodha/api/gtt_api.py; openalgo broker/zerodha/mapping/gtt_data.py"
GTT-02,Broker,dhan,order_api,No Forever Order (GTT) support,Low,Open,"Dhan Forever Order module (SINGLE/OCO)","Not present","Port Dhan Forever Order if in scope","openalgo broker/dhan/api/ (gtt); openbull backend/broker/dhan/api/"
DATA-01,Broker,upstox,data,No GLOBAL_INDICATOR LTP handling,Med,Done,"LTP-only path via /v2/market-quote/ltp for USDINR/BRENTOIL/WTIOIL feed symbols","No GLOBAL_INDICATOR branch; fails on those symbols","Add indicator detection + LTP fallback","openalgo broker/upstox/api/data.py; openbull backend/broker/upstox/api/data.py"
DATA-02,Broker,zerodha,data,History oi not cast to int,Low,Done,"final_df['oi'] = final_df['oi'].astype(int)","oi returned without int cast","Cast oi to int in history result","openalgo broker/zerodha/api/data.py; openbull backend/broker/zerodha/api/data.py"
NA-01,No action,fyers,database,Master-contract name=Underlying fix (openbull ahead),Info,No action,"name=Symbol Details on F&O (causes underlying-picker explosion)","name=Underlying symbol for F&O (correct)","Keep openbull; do not sync back","openbull backend/broker/fyers/database/master_contract_db.py"
NA-02,No action,fyers,database,Epoch expiry conversion (openbull ahead),Info,No action,"Raw epoch expiry string","Converts epoch -> DD-MMM-YY","Keep openbull","openbull backend/broker/fyers/database/master_contract_db.py"
NA-03,No action,fyers,database,Index symbol normalization (openbull ahead),Info,No action,"No index normalization","Normalizes NSE/BSE index symbols","Keep openbull","openbull backend/broker/fyers/database/master_contract_db.py"
NA-04,No action,fyers,data,429 retry + full depth+OI (openbull ahead),Info,No action,"No explicit 429 backoff in REST data","_api_get retry delays; full get_market_depth with OI","Keep openbull","openbull backend/broker/fyers/api/data.py"
NA-05,No action,angel,streaming,Health/stall detection already present (parity),Info,No action,"Relies on websocket-client timeouts","HEALTH_CHECK 30s / DATA_STALL 90s implemented","No action","openbull backend/broker/angel/streaming/angel_adapter.py"
NA-06,No action,core,architecture,Shared symbol cache + async master download (openbull ahead),Info,No action,"Per-broker DB lookups, sync download","Shared cache + async isolated engine","Keep openbull","openbull backend/broker/*/mapping/order_data.py; openbull backend/broker/*/database/master_contract_db.py"
EXTRA-01,WS,core,websocket_proxy,WebSocket ACK correlation (request_id),High,Done,"subscribe/unsubscribe ACK echoes a request_id so callers correlate success/failure","Server now echoes optional request_id on auth/subscribe/unsubscribe ACKs (success + error) via _ack helper; matches the existing _pingId echo on ping","Backend echo implemented. Frontend hooks intentionally NOT changed: useMarketData (used by /tools option chain + useLivePrice) tracks its own subs and ignores ACKs, so threading request_id there is risk without benefit; any caller can opt in by sending request_id","openbull backend/websocket_proxy/server.py"
EXTRA-02,WS,dhan,streaming,Dhan WS health watchdog + fatal-error short-circuit,Med,Done,"silent-stall detection + fatal/auth short-circuit","Has 20->5 depth fallback monitor (~881-942) but no connection-health _health_loop nor auth short-circuit (upstox/zerodha/angel have one)","Add _health_loop (90s stall -> reconnect) + _fatal_error auth short-circuit mirroring zerodha_adapter","openbull backend/broker/dhan/streaming/dhan_adapter.py"
EXTRA-03,WS,upstox,streaming,Upstox reconnect quality (reset/budget/LTPC carry-forward),Med,Done,"reconnect-counter reset on connect; ~50-try budget; LTPC carry-forward so depth/quote don't wipe LTP to 0","Health loop+resub present; caps at 5 (line 142); no counter reset on connect; no LTPC carry-forward","Reset reconnect_attempts in _on_open; raise cap 5->50; cache last ltpc per key and carry forward when a packet lacks ltpc","openbull backend/broker/upstox/streaming/upstox_adapter.py"
EXTRA-04,Realtime,core,hook,useLivePrice refinement (supersedes RT-05),High,Done,"MultiQuotes REST fallback; market-status aware (isFallbackMode); realized-PnL; lot-size-aware PnL; manual refresh","Implemented: new api/quotes.ts binds the EXISTING POST /api/v1/multiquotes (no new backend route needed); useLivePrice now polls it as a fallback (30s, visibility-aware, refresh-on-focus), exposes isFallbackMode + refreshMultiQuotes, and recomputes P&L with today_realized_pnl + lot_size. Added a client-side useMarketStatus (IST heuristic, NO holiday calendar) exposing isAnyMarketOpen - informational only, does NOT gate live data. Return shape is a superset so Positions/Holdings are unaffected","openbull frontend/src/hooks/useLivePrice.ts; frontend/src/hooks/useMarketStatus.ts; frontend/src/api/quotes.ts"
EXTRA-05,Realtime,core,events,Order event-driven refresh,Med,Blocked,"useOrderEventRefresh (Socket.IO) refreshes positions/holdings/orderbook/tradebook/funds/openpositions on order placed/failed/cancelled/modified","VERIFIED: openbull has NO server-side order-event channel (no Socket.IO/SSE/emit; only the market-data WS proxy). User-initiated order actions ALREADY invalidate react-query (Positions close -> positions+orderbook; OrderBook cancel/modify -> orderbook); practical gap is async broker-side fills only","BLOCKED on new infra: needs a server-side order-event push (Socket.IO/SSE or a WS order topic on the existing proxy) + a frontend useOrderEventRefresh hook. Per loop rule, NOT invented autonomously. Safe incremental alternative pending approval: a shared invalidate-all-order-queries helper called by every order mutation (place/basket/split/close/cancel/modify)","openalgo frontend/src/hooks/useOrderEventRefresh.ts; openbull backend/websocket_proxy/server.py (would host the channel)"
EXTRA-06,Frontend,core,frontend,Supported-exchange source of truth,Med,Done,"Exchange pickers/tool pages sourced from broker capabilities (useSupportedExchanges)","Hardcoded exchange lists (OptionChain.tsx FNO_EXCHANGES, Search.tsx EXCHANGES)","Added useSupportedExchanges hook reading the active broker's supported_exchanges from the EXISTING /web/broker/list (no new endpoint). OptionChain FNO picker + Search exchange picker now filter to broker-supported, ALWAYS keeping index/feed exchanges (*_INDEX/*INDICATOR) and falling back to the full hardcoded list when capabilities aren't loaded so /tools never empties. OptionChain snaps off unsupported selections","openbull frontend/src/hooks/useSupportedExchanges.ts; frontend/src/pages/tools/OptionChain.tsx; frontend/src/pages/Search.tsx"
EXTRA-07,Broker,zerodha,plugin,Missing NCO exchange,Low,Done,"NCO in supported_exchanges + master exchange_map","Absent in openbull zerodha plugin.json + master_contract_db","Add NCO to plugin.json supported_exchanges and master exchange_map","openbull backend/broker/zerodha/plugin.json; backend/broker/zerodha/database/master_contract_db.py"
EXTRA-08,Broker,zerodha,plugin,Missing GLOBAL_INDEX exchange,Med,Done,"GLOBAL_INDEX in supported_exchanges + master maps GLOBAL/NSEIX->GLOBAL_INDEX + quote/history/streaming","Absent in openbull (has MCX_INDEX only)","Add GLOBAL_INDEX to plugin.json + master exchange_map + streaming mapping","openbull backend/broker/zerodha/plugin.json; backend/broker/zerodha/database/master_contract_db.py"
EXTRA-09,Service,core,service,IV chart calendar-day vs trading-day window,Med,Done,"tools use last N TRADING days","iv_chart_service uses timedelta(days=N) calendar days (relies on history API to skip non-trading)","Filter to last N distinct trading days from history; check straddle/oi-profile equivalents","openbull backend/services/iv_chart_service.py"
EXTRA-10,Service,core,logging,traceback.print_exc replaced by logger.exception,Med,Done,"services use logger.exception for failures","6 services still call traceback.print_exc(): funds, holdings, positions, orderbook, tradebook, order_service","Replace all 6 traceback.print_exc() with logger.exception()","openbull backend/services/{funds,holdings,positions,orderbook,tradebook,order}_service.py"
EXTRA-11,Frontend,core,frontend,UX: CSV export toast + stale-data banner,Low,Done,"toast on CSV export; amber stale-data banner when data is stale/market closed","Added toast.success on CSV export (both pages) + amber 'live updates paused' banner driven by useLivePrice isPaused","Done. Banner uses isPaused (non-flickery); a richer market-closed/fallback banner can layer on once EXTRA-04 adds market-status + isFallbackMode","openbull frontend/src/pages/Positions.tsx; frontend/src/pages/Holdings.tsx"
EXTRA-12,Service,core,service,Options multiorder underlying-LTP reuse across legs,Low,Done,"fetch underlying LTP once, reuse across legs","place_options_multiorder re-fetched the underlying quote per leg via get_option_symbol","Added optional underlying_ltp param to get_option_symbol (default None = unchanged for other /tools callers) + per-(underlying,exchange) LTP cache in place_options_multiorder so legs on the same underlying reuse one quote. Analyze/sandbox option-quote prefetch is N/A: openbull multiorder is placement-only (no analyze step)","openbull backend/services/options_multiorder_service.py; backend/services/option_symbol_service.py"
EXTRA-NA-01,No action,core,parsing,Decimal strikes already supported,Info,No action,"decimal strike regex + format_strike","Present: option_greeks parse regex supports decimals; master format_strike","Keep openbull","openbull backend/services/option_greeks_service.py"
EXTRA-NA-02,No action,core,database,MCX/CDS option-symbol already handled,Info,No action,"CDS/MCX symbol reformat","Present in angel/zerodha master_contract_db","Keep openbull","openbull backend/broker/angel/database/master_contract_db.py"
EXTRA-NA-03,No action,zerodha,order_api,Market-protection already present,Info,No action,"market_protection on MARKET modify","Present (order_api ~164)","Keep openbull","openbull backend/broker/zerodha/api/order_api.py"
EXTRA-NA-04,No action,core,order_api,Smart-order locking already present,Info,No action,"per-symbol lock + position cache","Present in zerodha+angel order_api","Keep openbull","openbull backend/broker/zerodha/api/order_api.py; backend/broker/angel/api/order_api.py"
EXTRA-NA-05,No action,dhan,data,Dhan rate-limit already present,Info,No action,"805 retry + serialization","Present: _apply_rate_limit + _make_api_call 805 retry/backoff (data.py 41-173)","Keep openbull","openbull backend/broker/dhan/api/data.py"
EXTRA-NA-06,No action,core,service,Multiorder single-LTP reuse already present,Info,No action,"underlying LTP fetched once, reused across legs","Present in options_multiorder_service (only sandbox prefetch is the EXTRA-12 gap)","Keep openbull","openbull backend/services/options_multiorder_service.py"
